"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"TRANSPORTATION_-_TYRES","Transportation - tyres","1994","1994",2.767,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1995","1995",2.88,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1996","1996",3.096,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1997","1997",3.333,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1998","1998",3.493,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","1999","1999",3.765,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2000","2000",3.972,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2001","2001",4.078,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2002","2002",4.349,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2003","2003",4.54,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2004","2004",4.839,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2005","2005",4.987,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2006","2006",5.314,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2007","2007",5.623,,
"TRANSPORTATION_-_TYRES","Transportation - tyres","2008","2008",5.37,,
